nohup: ignoring input
cuda:2
Namespace(batch_size=3000, bn_sparsity=0.9, classes_per_user=10, clip_bound=1.8, clipping_style='all-layer', cluster_project_lr=0.03, cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.04, epochs=50, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_project_lr=0.03, instance_temperature=0.5, kl_threshold=0.7, learning_rate=0.05, linear_sparsity=0.75, local_epoch=2, loss_KL=0.5, mini_bs=300, miu=0.05, miuh=0, miuw=0, model_path='save/Cifar-10-DPFL-ResNet18-noiid-classes_per_user6-noper', momentum=0.3, n_clients=20, num_class=10, r_conv=6, r_proj=16, reload=False, resnet='ResNet18_lora', resnet_lr=0.13, sample_ratio=1, seed=17, smooth_K=6, smooth_loss_radius=2, smooth_step=0, start_epoch=0, test_image_size=256, thou=0.1, trans_lr=0.02, weight_decay=1e-05, workers=8)
sigma: 3.67919921875
W.weight 5120 torch.Size([10, 512])
H.weight 600000 torch.Size([60000, 10])
tensor([5, 3, 1,  ..., 5, 0, 8]) [1 3 9 ... 0 5 9]
Round:  46 User: 14 Train Loss: 142.221
Round:  46 User: 15 Train Loss: 144.027
Round:  46 User: 16 Train Loss: 142.724
Round:  46 User: 17 Train Loss: 143.782
Round:  46 User: 18 Train Loss: 143.687
Round:  46 User: 19 Train Loss: 143.978
count 20
updated norm:  tensor(2.5313, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2487 ARI = 0.1684 F = 0.2657 ACC = 0.3105
Round:  47 User: 0 Train Loss: 143.173
Round:  47 User: 1 Train Loss: 143.430
Round:  47 User: 2 Train Loss: 144.560
Round:  47 User: 3 Train Loss: 141.278
Round:  47 User: 4 Train Loss: 143.509
Round:  47 User: 5 Train Loss: 142.941
Round:  47 User: 6 Train Loss: 144.342
Round:  47 User: 7 Train Loss: 145.052
Round:  47 User: 8 Train Loss: 143.417
Round:  47 User: 9 Train Loss: 142.497
Round:  47 User: 10 Train Loss: 141.779
Round:  47 User: 11 Train Loss: 142.954
Round:  47 User: 12 Train Loss: 141.889
Round:  47 User: 13 Train Loss: 143.907
Round:  47 User: 14 Train Loss: 141.802
Round:  47 User: 15 Train Loss: 143.589
Round:  47 User: 16 Train Loss: 142.422
Round:  47 User: 17 Train Loss: 143.731
Round:  47 User: 18 Train Loss: 143.172
Round:  47 User: 19 Train Loss: 143.689
count 20
updated norm:  tensor(2.2852, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2494 ARI = 0.1701 F = 0.2668 ACC = 0.3121
Round:  48 User: 0 Train Loss: 140.592
Round:  48 User: 1 Train Loss: 140.844
Round:  48 User: 2 Train Loss: 141.680
Round:  48 User: 3 Train Loss: 138.817
Round:  48 User: 4 Train Loss: 140.898
Round:  48 User: 5 Train Loss: 140.449
Round:  48 User: 6 Train Loss: 141.593
Round:  48 User: 7 Train Loss: 142.311
Round:  48 User: 8 Train Loss: 141.067
Round:  48 User: 9 Train Loss: 139.820
Round:  48 User: 10 Train Loss: 139.270
Round:  48 User: 11 Train Loss: 140.214
Round:  48 User: 12 Train Loss: 139.237
Round:  48 User: 13 Train Loss: 141.412
Round:  48 User: 14 Train Loss: 139.226
Round:  48 User: 15 Train Loss: 140.924
Round:  48 User: 16 Train Loss: 139.791
Round:  48 User: 17 Train Loss: 140.729
Round:  48 User: 18 Train Loss: 140.762
Round:  48 User: 19 Train Loss: 141.041
count 20
updated norm:  tensor(2.4929, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2506 ARI = 0.1724 F = 0.2688 ACC = 0.3136
Round:  49 User: 0 Train Loss: 140.207
Round:  49 User: 1 Train Loss: 140.483
Round:  49 User: 2 Train Loss: 141.556
Round:  49 User: 3 Train Loss: 138.295
Round:  49 User: 4 Train Loss: 140.399
Round:  49 User: 5 Train Loss: 140.046
Round:  49 User: 6 Train Loss: 141.419
Round:  49 User: 7 Train Loss: 142.073
Round:  49 User: 8 Train Loss: 140.638
Round:  49 User: 9 Train Loss: 139.545
Round:  49 User: 10 Train Loss: 138.794
Round:  49 User: 11 Train Loss: 139.939
Round:  49 User: 12 Train Loss: 138.847
Round:  49 User: 13 Train Loss: 141.029
Round:  49 User: 14 Train Loss: 138.799
Round:  49 User: 15 Train Loss: 140.520
Round:  49 User: 16 Train Loss: 139.432
Round:  49 User: 17 Train Loss: 140.541
Round:  49 User: 18 Train Loss: 140.330
Round:  49 User: 19 Train Loss: 140.728
count 20
updated norm:  tensor(2.4552, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2497 ARI = 0.1721 F = 0.2682 ACC = 0.3144
