nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.03, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu_cm=0.5, model_path='save/Cifar-10-DPFL-ResNet18-adam3', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0008, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=8)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Round:  14 User: 290 Train Loss: 6.217
Norm:  tensor(2.6378, device='cuda:2')
Round:  14 User: 291 Train Loss: 6.211
Norm:  tensor(2.6699, device='cuda:2')
Round:  14 User: 292 Train Loss: 6.243
Norm:  tensor(2.8255, device='cuda:2')
Round:  14 User: 293 Train Loss: 6.187
Norm:  tensor(2.8532, device='cuda:2')
Round:  14 User: 294 Train Loss: 6.176
Norm:  tensor(2.7208, device='cuda:2')
Round:  14 User: 295 Train Loss: 6.241
Norm:  tensor(2.6675, device='cuda:2')
Round:  14 User: 296 Train Loss: 6.192
Norm:  tensor(2.6154, device='cuda:2')
Round:  14 User: 297 Train Loss: 6.168
Norm:  tensor(2.7331, device='cuda:2')
Round:  14 User: 298 Train Loss: 6.142
Norm:  tensor(2.7938, device='cuda:2')
Round:  14 User: 299 Train Loss: 6.147
Norm:  tensor(2.5913, device='cuda:2')
Round:  14 User: 300 Train Loss: 6.133
Norm:  tensor(2.5668, device='cuda:2')
Round:  14 User: 301 Train Loss: 6.299
Norm:  tensor(2.7169, device='cuda:2')
Round:  14 User: 302 Train Loss: 6.186
Norm:  tensor(2.7672, device='cuda:2')
Round:  14 User: 303 Train Loss: 6.107
Norm:  tensor(2.8097, device='cuda:2')
Round:  14 User: 304 Train Loss: 6.222
Norm:  tensor(2.8073, device='cuda:2')
Round:  14 User: 305 Train Loss: 6.156
Norm:  tensor(2.8424, device='cuda:2')
Round:  14 User: 306 Train Loss: 6.115
Norm:  tensor(2.7057, device='cuda:2')
Round:  14 User: 307 Train Loss: 6.225
Norm:  tensor(2.6100, device='cuda:2')
Round:  14 User: 308 Train Loss: 6.256
Norm:  tensor(2.7500, device='cuda:2')
Round:  14 User: 309 Train Loss: 6.167
Norm:  tensor(2.6943, device='cuda:2')
Round:  14 User: 310 Train Loss: 6.205
Norm:  tensor(2.7274, device='cuda:2')
Round:  14 User: 311 Train Loss: 6.214
Norm:  tensor(2.8722, device='cuda:2')
Round:  14 User: 312 Train Loss: 6.143
Norm:  tensor(2.8527, device='cuda:2')
Round:  14 User: 313 Train Loss: 6.111
Norm:  tensor(2.7976, device='cuda:2')
Round:  14 User: 314 Train Loss: 6.161
Norm:  tensor(2.7418, device='cuda:2')
Round:  14 User: 315 Train Loss: 6.156
Norm:  tensor(2.6074, device='cuda:2')
Round:  14 User: 316 Train Loss: 6.188
Norm:  tensor(2.7120, device='cuda:2')
Round:  14 User: 317 Train Loss: 6.199
Norm:  tensor(2.8244, device='cuda:2')
Round:  14 User: 318 Train Loss: 6.239
Norm:  tensor(2.7768, device='cuda:2')
Round:  14 User: 319 Train Loss: 6.178
Norm:  tensor(2.6972, device='cuda:2')
Round:  14 User: 320 Train Loss: 6.192
Norm:  tensor(2.6628, device='cuda:2')
Round:  14 User: 321 Train Loss: 6.210
Norm:  tensor(2.8614, device='cuda:2')
Round:  14 User: 322 Train Loss: 6.162
Norm:  tensor(2.7641, device='cuda:2')
Round:  14 User: 323 Train Loss: 6.214
Norm:  tensor(2.6740, device='cuda:2')
Round:  14 User: 324 Train Loss: 6.241
Norm:  tensor(2.7721, device='cuda:2')
Round:  14 User: 325 Train Loss: 6.117
Norm:  tensor(2.8333, device='cuda:2')
Round:  14 User: 326 Train Loss: 6.208
Norm:  tensor(2.7700, device='cuda:2')
Round:  14 User: 327 Train Loss: 6.225
Norm:  tensor(2.6905, device='cuda:2')
Round:  14 User: 328 Train Loss: 6.211
Norm:  tensor(2.8709, device='cuda:2')
Round:  14 User: 329 Train Loss: 6.095
Norm:  tensor(2.8479, device='cuda:2')
Round:  14 User: 330 Train Loss: 6.149
Norm:  tensor(2.6958, device='cuda:2')
Round:  14 User: 331 Train Loss: 6.226
Norm:  tensor(2.6056, device='cuda:2')
Round:  14 User: 332 Train Loss: 6.275
Norm:  tensor(2.6606, device='cuda:2')
Round:  14 User: 333 Train Loss: 6.181
Norm:  tensor(2.7929, device='cuda:2')
Round:  14 User: 334 Train Loss: 6.146
Norm:  tensor(2.6961, device='cuda:2')
Round:  14 User: 335 Train Loss: 6.216
Norm:  tensor(2.7711, device='cuda:2')
Round:  14 User: 336 Train Loss: 6.168
Norm:  tensor(2.8542, device='cuda:2')
Round:  14 User: 337 Train Loss: 6.161
Norm:  tensor(2.7359, device='cuda:2')
Round:  14 User: 338 Train Loss: 6.254
Norm:  tensor(2.9223, device='cuda:2')
Round:  14 User: 339 Train Loss: 6.189
Norm:  tensor(2.6482, device='cuda:2')
Round:  14 User: 340 Train Loss: 6.277
Norm:  tensor(2.8557, device='cuda:2')
Round:  14 User: 341 Train Loss: 6.165
Norm:  tensor(2.8781, device='cuda:2')
Round:  14 User: 342 Train Loss: 6.147
Norm:  tensor(2.7939, device='cuda:2')
Round:  14 User: 343 Train Loss: 6.137
Norm:  tensor(2.7170, device='cuda:2')
Round:  14 User: 344 Train Loss: 6.145
Norm:  tensor(2.7989, device='cuda:2')
Round:  14 User: 345 Train Loss: 6.182
Norm:  tensor(2.7401, device='cuda:2')
Round:  14 User: 346 Train Loss: 6.158
Norm:  tensor(2.8340, device='cuda:2')
Round:  14 User: 347 Train Loss: 6.126
Norm:  tensor(2.7862, device='cuda:2')
Round:  14 User: 348 Train Loss: 6.134
Norm:  tensor(2.7495, device='cuda:2')
Round:  14 User: 349 Train Loss: 6.233
Norm:  tensor(2.6743, device='cuda:2')
Round:  14 User: 350 Train Loss: 6.192
Norm:  tensor(2.6748, device='cuda:2')
Round:  14 User: 351 Train Loss: 6.202
Norm:  tensor(2.7057, device='cuda:2')
Round:  14 User: 352 Train Loss: 6.174
Norm:  tensor(2.6983, device='cuda:2')
Round:  14 User: 353 Train Loss: 6.200
Norm:  tensor(2.8275, device='cuda:2')
Round:  14 User: 354 Train Loss: 6.177
Norm:  tensor(2.7028, device='cuda:2')
Round:  14 User: 355 Train Loss: 6.178
Norm:  tensor(2.7011, device='cuda:2')
Round:  14 User: 356 Train Loss: 6.210
Norm:  tensor(2.9022, device='cuda:2')
Round:  14 User: 357 Train Loss: 6.201
Norm:  tensor(2.6368, device='cuda:2')
Round:  14 User: 358 Train Loss: 6.191
Norm:  tensor(2.6346, device='cuda:2')
Round:  14 User: 359 Train Loss: 6.266
Norm:  tensor(2.8571, device='cuda:2')
Round:  14 User: 360 Train Loss: 6.179
Norm:  tensor(2.7533, device='cuda:2')
Round:  14 User: 361 Train Loss: 6.114
Norm:  tensor(2.7546, device='cuda:2')
Round:  14 User: 362 Train Loss: 6.068
Norm:  tensor(2.6303, device='cuda:2')
Round:  14 User: 363 Train Loss: 6.259
Norm:  tensor(2.7150, device='cuda:2')
Round:  14 User: 364 Train Loss: 6.150
Norm:  tensor(2.5698, device='cuda:2')
Round:  14 User: 365 Train Loss: 6.207
Norm:  tensor(2.7749, device='cuda:2')
Round:  14 User: 366 Train Loss: 6.205
Norm:  tensor(2.7516, device='cuda:2')
Round:  14 User: 367 Train Loss: 6.198
Norm:  tensor(2.8371, device='cuda:2')
Round:  14 User: 368 Train Loss: 6.084
Norm:  tensor(2.7753, device='cuda:2')
Round:  14 User: 369 Train Loss: 6.166
Norm:  tensor(2.6646, device='cuda:2')
Round:  14 User: 370 Train Loss: 6.180
Norm:  tensor(2.8289, device='cuda:2')
Round:  14 User: 371 Train Loss: 6.170
Norm:  tensor(2.8485, device='cuda:2')
Round:  14 User: 372 Train Loss: 6.155
Norm:  tensor(2.6910, device='cuda:2')
Round:  14 User: 373 Train Loss: 6.181
Norm:  tensor(2.7906, device='cuda:2')
Round:  14 User: 374 Train Loss: 6.237
Norm:  tensor(2.7308, device='cuda:2')
Round:  14 User: 375 Train Loss: 6.161
Norm:  tensor(2.7300, device='cuda:2')
Round:  14 User: 376 Train Loss: 6.112
Norm:  tensor(2.8302, device='cuda:2')
Round:  14 User: 377 Train Loss: 6.153
Norm:  tensor(2.8358, device='cuda:2')
Round:  14 User: 378 Train Loss: 6.163
Norm:  tensor(2.7436, device='cuda:2')
Round:  14 User: 379 Train Loss: 6.169
Norm:  tensor(2.7273, device='cuda:2')
Round:  14 User: 380 Train Loss: 6.216
Norm:  tensor(2.6983, device='cuda:2')
Round:  14 User: 381 Train Loss: 6.177
Norm:  tensor(2.6175, device='cuda:2')
Round:  14 User: 382 Train Loss: 6.216
Norm:  tensor(2.8550, device='cuda:2')
Round:  14 User: 383 Train Loss: 6.150
Norm:  tensor(2.6761, device='cuda:2')
Round:  14 User: 384 Train Loss: 6.225
Norm:  tensor(2.7668, device='cuda:2')
Round:  14 User: 385 Train Loss: 6.216
Norm:  tensor(2.7296, device='cuda:2')
Round:  14 User: 386 Train Loss: 6.203
Norm:  tensor(2.7949, device='cuda:2')
Round:  14 User: 387 Train Loss: 6.150
Norm:  tensor(2.5863, device='cuda:2')
Round:  14 User: 388 Train Loss: 6.278
Norm:  tensor(2.6344, device='cuda:2')
Round:  14 User: 389 Train Loss: 6.201
Norm:  tensor(2.7578, device='cuda:2')
Round:  14 User: 390 Train Loss: 6.183
Norm:  tensor(2.7101, device='cuda:2')
Round:  14 User: 391 Train Loss: 6.223
Norm:  tensor(2.7592, device='cuda:2')
Round:  14 User: 392 Train Loss: 6.094
Norm:  tensor(2.7417, device='cuda:2')
Round:  14 User: 393 Train Loss: 6.180
Norm:  tensor(2.6872, device='cuda:2')
Round:  14 User: 394 Train Loss: 6.111
Norm:  tensor(2.7175, device='cuda:2')
Round:  14 User: 395 Train Loss: 6.224
Norm:  tensor(2.7909, device='cuda:2')
Round:  14 User: 396 Train Loss: 6.220
Norm:  tensor(2.8676, device='cuda:2')
Round:  14 User: 397 Train Loss: 6.138
Norm:  tensor(2.5845, device='cuda:2')
Round:  14 User: 398 Train Loss: 6.204
Norm:  tensor(2.7616, device='cuda:2')
Round:  14 User: 399 Train Loss: 6.253
Norm:  tensor(2.8406, device='cuda:2')
Round:  14 User: 400 Train Loss: 6.173
Norm:  tensor(2.6835, device='cuda:2')
Round:  14 User: 401 Train Loss: 6.253
Norm:  tensor(2.6097, device='cuda:2')
Round:  14 User: 402 Train Loss: 6.187
Norm:  tensor(2.7568, device='cuda:2')
Round:  14 User: 403 Train Loss: 6.153
Norm:  tensor(2.6033, device='cuda:2')
Round:  14 User: 404 Train Loss: 6.191
Norm:  tensor(2.7685, device='cuda:2')
Round:  14 User: 405 Train Loss: 6.224
Norm:  tensor(2.7568, device='cuda:2')
Round:  14 User: 406 Train Loss: 6.181
Norm:  tensor(2.8487, device='cuda:2')
Round:  14 User: 407 Train Loss: 6.224
Norm:  tensor(2.7345, device='cuda:2')
Round:  14 User: 408 Train Loss: 6.226
Norm:  tensor(2.7015, device='cuda:2')
Round:  14 User: 409 Train Loss: 6.258
Norm:  tensor(2.8094, device='cuda:2')
Round:  14 User: 410 Train Loss: 6.225
Norm:  tensor(2.7287, device='cuda:2')
Round:  14 User: 411 Train Loss: 6.143
Norm:  tensor(2.7464, device='cuda:2')
Round:  14 User: 412 Train Loss: 6.148
Norm:  tensor(2.6418, device='cuda:2')
Round:  14 User: 413 Train Loss: 6.253
Norm:  tensor(2.6150, device='cuda:2')
Round:  14 User: 414 Train Loss: 6.191
Norm:  tensor(2.8644, device='cuda:2')
Round:  14 User: 415 Train Loss: 6.195
Norm:  tensor(2.7650, device='cuda:2')
Round:  14 User: 416 Train Loss: 6.206
Norm:  tensor(2.6437, device='cuda:2')
Round:  14 User: 417 Train Loss: 6.191
Norm:  tensor(2.8625, device='cuda:2')
Round:  14 User: 418 Train Loss: 6.166
Norm:  tensor(2.7357, device='cuda:2')
Round:  14 User: 419 Train Loss: 6.208
Norm:  tensor(2.7423, device='cuda:2')
Round:  14 User: 420 Train Loss: 6.170
Norm:  tensor(2.7669, device='cuda:2')
Round:  14 User: 421 Train Loss: 6.181
Norm:  tensor(2.6702, device='cuda:2')
Round:  14 User: 422 Train Loss: 6.227
Norm:  tensor(2.7748, device='cuda:2')
Round:  14 User: 423 Train Loss: 6.179
Norm:  tensor(2.8599, device='cuda:2')
Round:  14 User: 424 Train Loss: 6.151
Norm:  tensor(2.7662, device='cuda:2')
Round:  14 User: 425 Train Loss: 6.208
Norm:  tensor(2.8109, device='cuda:2')
Round:  14 User: 426 Train Loss: 6.221
Norm:  tensor(2.8396, device='cuda:2')
Round:  14 User: 427 Train Loss: 6.160
Norm:  tensor(2.8943, device='cuda:2')
Round:  14 User: 428 Train Loss: 6.223
Norm:  tensor(2.7851, device='cuda:2')
Round:  14 User: 429 Train Loss: 6.294
Norm:  tensor(2.6927, device='cuda:2')
Round:  14 User: 430 Train Loss: 6.179
Norm:  tensor(2.6405, device='cuda:2')
Round:  14 User: 431 Train Loss: 6.289
Norm:  tensor(2.8242, device='cuda:2')
Round:  14 User: 432 Train Loss: 6.113
Norm:  tensor(2.6329, device='cuda:2')
Round:  14 User: 433 Train Loss: 6.118
Norm:  tensor(2.5680, device='cuda:2')
Round:  14 User: 434 Train Loss: 6.233
Norm:  tensor(2.6776, device='cuda:2')
Round:  14 User: 435 Train Loss: 6.216
Norm:  tensor(2.6198, device='cuda:2')
Round:  14 User: 436 Train Loss: 6.127
Norm:  tensor(2.7068, device='cuda:2')
Round:  14 User: 437 Train Loss: 6.163
Norm:  tensor(2.7174, device='cuda:2')
Round:  14 User: 438 Train Loss: 6.155
Norm:  tensor(2.6917, device='cuda:2')
Round:  14 User: 439 Train Loss: 6.185
Norm:  tensor(2.8740, device='cuda:2')
Round:  14 User: 440 Train Loss: 6.113
Norm:  tensor(2.5783, device='cuda:2')
Round:  14 User: 441 Train Loss: 6.196
Norm:  tensor(2.7408, device='cuda:2')
Round:  14 User: 442 Train Loss: 6.217
Norm:  tensor(2.8187, device='cuda:2')
Round:  14 User: 443 Train Loss: 6.193
Norm:  tensor(2.6365, device='cuda:2')
Round:  14 User: 444 Train Loss: 6.239
Norm:  tensor(2.7528, device='cuda:2')
Round:  14 User: 445 Train Loss: 6.158
Norm:  tensor(2.8196, device='cuda:2')
Round:  14 User: 446 Train Loss: 6.122
Norm:  tensor(2.6246, device='cuda:2')
Round:  14 User: 447 Train Loss: 6.235
Norm:  tensor(2.6348, device='cuda:2')
Round:  14 User: 448 Train Loss: 6.146
Norm:  tensor(2.7612, device='cuda:2')
Round:  14 User: 449 Train Loss: 6.155
Norm:  tensor(2.6512, device='cuda:2')
Round:  14 User: 450 Train Loss: 6.208
Norm:  tensor(2.7546, device='cuda:2')
Round:  14 User: 451 Train Loss: 6.074
Norm:  tensor(2.8324, device='cuda:2')
Round:  14 User: 452 Train Loss: 6.183
Norm:  tensor(2.6335, device='cuda:2')
Round:  14 User: 453 Train Loss: 6.219
Norm:  tensor(2.6435, device='cuda:2')
Round:  14 User: 454 Train Loss: 6.213
Norm:  tensor(2.7558, device='cuda:2')
Round:  14 User: 455 Train Loss: 6.244
Norm:  tensor(2.7070, device='cuda:2')
Round:  14 User: 456 Train Loss: 6.157
Norm:  tensor(2.6086, device='cuda:2')
Round:  14 User: 457 Train Loss: 6.146
Norm:  tensor(2.7842, device='cuda:2')
Round:  14 User: 458 Train Loss: 6.202
Norm:  tensor(2.7078, device='cuda:2')
Round:  14 User: 459 Train Loss: 6.246
Norm:  tensor(2.6985, device='cuda:2')
Round:  14 User: 460 Train Loss: 6.157
Norm:  tensor(2.7421, device='cuda:2')
Round:  14 User: 461 Train Loss: 6.217
Norm:  tensor(2.7549, device='cuda:2')
Round:  14 User: 462 Train Loss: 6.132
Norm:  tensor(2.7271, device='cuda:2')
Round:  14 User: 463 Train Loss: 6.183
Norm:  tensor(2.7259, device='cuda:2')
Round:  14 User: 464 Train Loss: 6.249
Norm:  tensor(2.6881, device='cuda:2')
Round:  14 User: 465 Train Loss: 6.097
Norm:  tensor(2.7162, device='cuda:2')
Round:  14 User: 466 Train Loss: 6.121
Norm:  tensor(2.7392, device='cuda:2')
Round:  14 User: 467 Train Loss: 6.218
Norm:  tensor(2.7392, device='cuda:2')
Round:  14 User: 468 Train Loss: 6.336
Norm:  tensor(2.6356, device='cuda:2')
Round:  14 User: 469 Train Loss: 6.109
Norm:  tensor(2.8292, device='cuda:2')
Round:  14 User: 470 Train Loss: 6.071
Norm:  tensor(2.8052, device='cuda:2')
Round:  14 User: 471 Train Loss: 6.149
Norm:  tensor(2.7695, device='cuda:2')
Round:  14 User: 472 Train Loss: 6.251
Norm:  tensor(2.7893, device='cuda:2')
Round:  14 User: 473 Train Loss: 6.098
Norm:  tensor(2.6234, device='cuda:2')
Round:  14 User: 474 Train Loss: 6.214
Norm:  tensor(2.8154, device='cuda:2')
Round:  14 User: 475 Train Loss: 6.149
Norm:  tensor(2.7772, device='cuda:2')
Round:  14 User: 476 Train Loss: 6.151
Norm:  tensor(2.7545, device='cuda:2')
Round:  14 User: 477 Train Loss: 6.151
Norm:  tensor(2.7816, device='cuda:2')
Round:  14 User: 478 Train Loss: 6.212
Norm:  tensor(2.7697, device='cuda:2')
Round:  14 User: 479 Train Loss: 6.202
Norm:  tensor(2.7436, device='cuda:2')
Round:  14 User: 480 Train Loss: 6.178
Norm:  tensor(2.7542, device='cuda:2')
Round:  14 User: 481 Train Loss: 6.186
Norm:  tensor(2.7807, device='cuda:2')
Round:  14 User: 482 Train Loss: 6.112
Norm:  tensor(2.6243, device='cuda:2')
Round:  14 User: 483 Train Loss: 6.194
Norm:  tensor(2.8183, device='cuda:2')
Round:  14 User: 484 Train Loss: 6.160
Norm:  tensor(2.6254, device='cuda:2')
Round:  14 User: 485 Train Loss: 6.210
Norm:  tensor(2.8294, device='cuda:2')
Round:  14 User: 486 Train Loss: 6.121
Norm:  tensor(2.6447, device='cuda:2')
Round:  14 User: 487 Train Loss: 6.215
Norm:  tensor(2.7393, device='cuda:2')
Round:  14 User: 488 Train Loss: 6.137
Norm:  tensor(2.7861, device='cuda:2')
Round:  14 User: 489 Train Loss: 6.167
Norm:  tensor(2.6799, device='cuda:2')
Round:  14 User: 490 Train Loss: 6.156
Norm:  tensor(2.6208, device='cuda:2')
Round:  14 User: 491 Train Loss: 6.157
Norm:  tensor(2.7944, device='cuda:2')
Round:  14 User: 492 Train Loss: 6.201
Norm:  tensor(2.6679, device='cuda:2')
Round:  14 User: 493 Train Loss: 6.199
Norm:  tensor(2.8192, device='cuda:2')
Round:  14 User: 494 Train Loss: 6.129
Norm:  tensor(2.8449, device='cuda:2')
Round:  14 User: 495 Train Loss: 6.225
Norm:  tensor(2.7432, device='cuda:2')
Round:  14 User: 496 Train Loss: 6.260
Norm:  tensor(2.7018, device='cuda:2')
Round:  14 User: 497 Train Loss: 6.198
Norm:  tensor(2.6600, device='cuda:2')
Round:  14 User: 498 Train Loss: 6.255
Norm:  tensor(2.6311, device='cuda:2')
Round:  14 User: 499 Train Loss: 6.157
Norm:  tensor(2.7502, device='cuda:2')
Round:  14 User: 500 Train Loss: 6.224
Norm:  tensor(2.8371, device='cuda:2')
Round:  14 User: 501 Train Loss: 6.126
Norm:  tensor(2.7908, device='cuda:2')
Round:  14 User: 502 Train Loss: 6.131
Norm:  tensor(2.6241, device='cuda:2')
Round:  14 User: 503 Train Loss: 6.211
Norm:  tensor(2.7579, device='cuda:2')
Round:  14 User: 504 Train Loss: 6.238
Norm:  tensor(2.8094, device='cuda:2')
Round:  14 User: 505 Train Loss: 6.146
Norm:  tensor(2.8452, device='cuda:2')
Round:  14 User: 506 Train Loss: 6.182
Norm:  tensor(2.7191, device='cuda:2')
Round:  14 User: 507 Train Loss: 6.195
Norm:  tensor(2.6822, device='cuda:2')
Round:  14 User: 508 Train Loss: 6.144
Norm:  tensor(2.7204, device='cuda:2')
Round:  14 User: 509 Train Loss: 6.131
Norm:  tensor(2.6196, device='cuda:2')
Round:  14 User: 510 Train Loss: 6.214
Norm:  tensor(2.7287, device='cuda:2')
Round:  14 User: 511 Train Loss: 6.290
Norm:  tensor(2.7385, device='cuda:2')
Round:  14 User: 512 Train Loss: 6.141
Norm:  tensor(2.7782, device='cuda:2')
Round:  14 User: 513 Train Loss: 6.180
Norm:  tensor(2.8725, device='cuda:2')
Round:  14 User: 514 Train Loss: 6.116
Norm:  tensor(2.7519, device='cuda:2')
Round:  14 User: 515 Train Loss: 6.194
Norm:  tensor(2.6775, device='cuda:2')
Round:  14 User: 516 Train Loss: 6.281
Norm:  tensor(2.7618, device='cuda:2')
Round:  14 User: 517 Train Loss: 6.190
Norm:  tensor(2.6731, device='cuda:2')
Round:  14 User: 518 Train Loss: 6.233
Norm:  tensor(2.7519, device='cuda:2')
Round:  14 User: 519 Train Loss: 6.111
Norm:  tensor(2.7633, device='cuda:2')
Round:  14 User: 520 Train Loss: 6.199
Norm:  tensor(2.7431, device='cuda:2')
Round:  14 User: 521 Train Loss: 6.236
Norm:  tensor(2.6371, device='cuda:2')
Round:  14 User: 522 Train Loss: 6.189
Norm:  tensor(2.6151, device='cuda:2')
Round:  14 User: 523 Train Loss: 6.135
Norm:  tensor(2.7774, device='cuda:2')
Round:  14 User: 524 Train Loss: 6.214
Norm:  tensor(2.7563, device='cuda:2')
Round:  14 User: 525 Train Loss: 6.231
Norm:  tensor(2.8790, device='cuda:2')
Round:  14 User: 526 Train Loss: 6.181
Norm:  tensor(2.7495, device='cuda:2')
Round:  14 User: 527 Train Loss: 6.232
Norm:  tensor(2.7966, device='cuda:2')
Round:  14 User: 528 Train Loss: 6.170
Norm:  tensor(2.7898, device='cuda:2')
Round:  14 User: 529 Train Loss: 6.223
Norm:  tensor(2.8412, device='cuda:2')
Round:  14 User: 530 Train Loss: 6.148
Norm:  tensor(2.7880, device='cuda:2')
Round:  14 User: 531 Train Loss: 6.206
Norm:  tensor(2.7846, device='cuda:2')
Round:  14 User: 532 Train Loss: 6.177
Norm:  tensor(2.7323, device='cuda:2')
Round:  14 User: 533 Train Loss: 6.259
Norm:  tensor(2.8565, device='cuda:2')
Round:  14 User: 534 Train Loss: 6.081
Norm:  tensor(2.6903, device='cuda:2')
Round:  14 User: 535 Train Loss: 6.183
Norm:  tensor(2.5839, device='cuda:2')
Round:  14 User: 536 Train Loss: 6.253
Norm:  tensor(2.7180, device='cuda:2')
Round:  14 User: 537 Train Loss: 6.201
Norm:  tensor(2.7111, device='cuda:2')
Round:  14 User: 538 Train Loss: 6.158
Norm:  tensor(2.6104, device='cuda:2')
Round:  14 User: 539 Train Loss: 6.169
Norm:  tensor(2.6298, device='cuda:2')
Round:  14 User: 540 Train Loss: 6.196
Norm:  tensor(2.7758, device='cuda:2')
Round:  14 User: 541 Train Loss: 6.200
Norm:  tensor(2.6868, device='cuda:2')
Round:  14 User: 542 Train Loss: 6.156
Norm:  tensor(2.6806, device='cuda:2')
Round:  14 User: 543 Train Loss: 6.211
Norm:  tensor(2.7592, device='cuda:2')
Round:  14 User: 544 Train Loss: 6.199
Norm:  tensor(2.7781, device='cuda:2')
Round:  14 User: 545 Train Loss: 6.171
