nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu=0.5, model_path='save/Cifar-10-DPFL-ResNet18-fedx', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0006, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=4)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Round:  7 User: 6 Train Loss: 8.230
Norm:  tensor(2.2743, device='cuda:2')
Round:  7 User: 7 Train Loss: 8.396
Norm:  tensor(2.4461, device='cuda:2')
Round:  7 User: 8 Train Loss: 8.309
Norm:  tensor(2.2646, device='cuda:2')
Round:  7 User: 9 Train Loss: 8.389
Norm:  tensor(2.4763, device='cuda:2')
Round:  7 User: 10 Train Loss: 8.268
Norm:  tensor(2.4592, device='cuda:2')
Round:  7 User: 11 Train Loss: 8.295
Norm:  tensor(2.3749, device='cuda:2')
Round:  7 User: 12 Train Loss: 8.286
Norm:  tensor(2.4131, device='cuda:2')
Round:  7 User: 13 Train Loss: 8.137
Norm:  tensor(2.4989, device='cuda:2')
Round:  7 User: 14 Train Loss: 8.393
Norm:  tensor(2.4675, device='cuda:2')
Round:  7 User: 15 Train Loss: 8.402
Norm:  tensor(2.5769, device='cuda:2')
Round:  7 User: 16 Train Loss: 8.274
Norm:  tensor(2.2787, device='cuda:2')
Round:  7 User: 17 Train Loss: 8.241
Norm:  tensor(2.4376, device='cuda:2')
Round:  7 User: 18 Train Loss: 8.212
Norm:  tensor(2.3858, device='cuda:2')
Round:  7 User: 19 Train Loss: 8.312
Norm:  tensor(2.4290, device='cuda:2')
Round:  7 User: 20 Train Loss: 8.308
Norm:  tensor(2.4597, device='cuda:2')
Round:  7 User: 21 Train Loss: 8.444
Norm:  tensor(2.4056, device='cuda:2')
Round:  7 User: 22 Train Loss: 8.294
Norm:  tensor(2.3832, device='cuda:2')
Round:  7 User: 23 Train Loss: 8.258
Norm:  tensor(2.3504, device='cuda:2')
Round:  7 User: 24 Train Loss: 8.222
Norm:  tensor(2.4969, device='cuda:2')
Round:  7 User: 25 Train Loss: 8.322
Norm:  tensor(2.4820, device='cuda:2')
Round:  7 User: 26 Train Loss: 8.333
Norm:  tensor(2.3789, device='cuda:2')
Round:  7 User: 27 Train Loss: 8.237
Norm:  tensor(2.4268, device='cuda:2')
Round:  7 User: 28 Train Loss: 8.213
Norm:  tensor(2.3260, device='cuda:2')
Round:  7 User: 29 Train Loss: 8.414
Norm:  tensor(2.4364, device='cuda:2')
Round:  7 User: 30 Train Loss: 8.291
Norm:  tensor(2.4159, device='cuda:2')
Round:  7 User: 31 Train Loss: 8.252
Norm:  tensor(2.3579, device='cuda:2')
Round:  7 User: 32 Train Loss: 8.247
Norm:  tensor(2.4374, device='cuda:2')
Round:  7 User: 33 Train Loss: 8.246
Norm:  tensor(2.5546, device='cuda:2')
Round:  7 User: 34 Train Loss: 8.246
Norm:  tensor(2.4374, device='cuda:2')
Round:  7 User: 35 Train Loss: 8.288
Norm:  tensor(2.4187, device='cuda:2')
Round:  7 User: 36 Train Loss: 8.203
Norm:  tensor(2.5045, device='cuda:2')
Round:  7 User: 37 Train Loss: 8.380
Norm:  tensor(2.3694, device='cuda:2')
Round:  7 User: 38 Train Loss: 8.362
Norm:  tensor(2.4377, device='cuda:2')
Round:  7 User: 39 Train Loss: 8.400
Norm:  tensor(2.4029, device='cuda:2')
Round:  7 User: 40 Train Loss: 8.191
Norm:  tensor(2.3176, device='cuda:2')
Round:  7 User: 41 Train Loss: 8.309
Norm:  tensor(2.3175, device='cuda:2')
Round:  7 User: 42 Train Loss: 8.205
Norm:  tensor(2.3832, device='cuda:2')
Round:  7 User: 43 Train Loss: 8.263
Norm:  tensor(2.4038, device='cuda:2')
Round:  7 User: 44 Train Loss: 8.284
Norm:  tensor(2.3509, device='cuda:2')
Round:  7 User: 45 Train Loss: 8.204
Norm:  tensor(2.2831, device='cuda:2')
Round:  7 User: 46 Train Loss: 8.266
Norm:  tensor(2.5072, device='cuda:2')
Round:  7 User: 47 Train Loss: 8.283
Norm:  tensor(2.3375, device='cuda:2')
Round:  7 User: 48 Train Loss: 8.263
Norm:  tensor(2.4590, device='cuda:2')
Round:  7 User: 49 Train Loss: 8.350
Norm:  tensor(2.3850, device='cuda:2')
Round:  7 User: 50 Train Loss: 8.352
Norm:  tensor(2.4862, device='cuda:2')
Round:  7 User: 51 Train Loss: 8.299
Norm:  tensor(2.4769, device='cuda:2')
Round:  7 User: 52 Train Loss: 8.195
Norm:  tensor(2.4090, device='cuda:2')
Round:  7 User: 53 Train Loss: 8.292
Norm:  tensor(2.3725, device='cuda:2')
Round:  7 User: 54 Train Loss: 8.413
Norm:  tensor(2.3468, device='cuda:2')
Round:  7 User: 55 Train Loss: 8.260
Norm:  tensor(2.4727, device='cuda:2')
Round:  7 User: 56 Train Loss: 8.243
Norm:  tensor(2.4071, device='cuda:2')
Round:  7 User: 57 Train Loss: 8.343
Norm:  tensor(2.4641, device='cuda:2')
Round:  7 User: 58 Train Loss: 8.249
Norm:  tensor(2.3448, device='cuda:2')
Round:  7 User: 59 Train Loss: 8.234
Norm:  tensor(2.4439, device='cuda:2')
Round:  7 User: 60 Train Loss: 8.200
Norm:  tensor(2.4250, device='cuda:2')
Round:  7 User: 61 Train Loss: 8.334
Norm:  tensor(2.3918, device='cuda:2')
Round:  7 User: 62 Train Loss: 8.181
Norm:  tensor(2.3622, device='cuda:2')
Round:  7 User: 63 Train Loss: 8.218
Norm:  tensor(2.2359, device='cuda:2')
Round:  7 User: 64 Train Loss: 8.382
Norm:  tensor(2.4552, device='cuda:2')
Round:  7 User: 65 Train Loss: 8.261
Norm:  tensor(2.3552, device='cuda:2')
Round:  7 User: 66 Train Loss: 8.269
Norm:  tensor(2.6249, device='cuda:2')
Round:  7 User: 67 Train Loss: 8.334
Norm:  tensor(2.4508, device='cuda:2')
Round:  7 User: 68 Train Loss: 8.317
Norm:  tensor(2.4884, device='cuda:2')
Round:  7 User: 69 Train Loss: 8.334
Norm:  tensor(2.4176, device='cuda:2')
Round:  7 User: 70 Train Loss: 8.273
Norm:  tensor(2.3653, device='cuda:2')
Round:  7 User: 71 Train Loss: 8.324
Norm:  tensor(2.5277, device='cuda:2')
Round:  7 User: 72 Train Loss: 8.132
Norm:  tensor(2.4455, device='cuda:2')
Round:  7 User: 73 Train Loss: 8.215
Norm:  tensor(2.4614, device='cuda:2')
Round:  7 User: 74 Train Loss: 8.319
Norm:  tensor(2.4709, device='cuda:2')
Round:  7 User: 75 Train Loss: 8.230
Norm:  tensor(2.4931, device='cuda:2')
Round:  7 User: 76 Train Loss: 8.279
Norm:  tensor(2.3484, device='cuda:2')
Round:  7 User: 77 Train Loss: 8.369
Norm:  tensor(2.5037, device='cuda:2')
Round:  7 User: 78 Train Loss: 8.274
Norm:  tensor(2.2805, device='cuda:2')
Round:  7 User: 79 Train Loss: 8.245
Norm:  tensor(2.4979, device='cuda:2')
Round:  7 User: 80 Train Loss: 8.244
Norm:  tensor(2.3450, device='cuda:2')
Round:  7 User: 81 Train Loss: 8.297
Norm:  tensor(2.3097, device='cuda:2')
Round:  7 User: 82 Train Loss: 8.218
Norm:  tensor(2.3291, device='cuda:2')
Round:  7 User: 83 Train Loss: 8.269
Norm:  tensor(2.3819, device='cuda:2')
Round:  7 User: 84 Train Loss: 8.312
Norm:  tensor(2.5210, device='cuda:2')
Round:  7 User: 85 Train Loss: 8.337
Norm:  tensor(2.4229, device='cuda:2')
Round:  7 User: 86 Train Loss: 8.371
Norm:  tensor(2.4558, device='cuda:2')
Round:  7 User: 87 Train Loss: 8.304
Norm:  tensor(2.5316, device='cuda:2')
Round:  7 User: 88 Train Loss: 8.277
Norm:  tensor(2.5143, device='cuda:2')
Round:  7 User: 89 Train Loss: 8.235
Norm:  tensor(2.3717, device='cuda:2')
Round:  7 User: 90 Train Loss: 8.301
Norm:  tensor(2.4588, device='cuda:2')
Round:  7 User: 91 Train Loss: 8.235
Norm:  tensor(2.4702, device='cuda:2')
Round:  7 User: 92 Train Loss: 8.249
Norm:  tensor(2.4091, device='cuda:2')
Round:  7 User: 93 Train Loss: 8.301
Norm:  tensor(2.5118, device='cuda:2')
Round:  7 User: 94 Train Loss: 8.200
Norm:  tensor(2.3836, device='cuda:2')
Round:  7 User: 95 Train Loss: 8.284
Norm:  tensor(2.3847, device='cuda:2')
Round:  7 User: 96 Train Loss: 8.348
Norm:  tensor(2.4333, device='cuda:2')
Round:  7 User: 97 Train Loss: 8.314
Norm:  tensor(2.4393, device='cuda:2')
Round:  7 User: 98 Train Loss: 8.234
Norm:  tensor(2.4460, device='cuda:2')
Round:  7 User: 99 Train Loss: 8.350
Norm:  tensor(2.4955, device='cuda:2')
Round:  7 User: 100 Train Loss: 8.293
Norm:  tensor(2.3991, device='cuda:2')
Round:  7 User: 101 Train Loss: 8.217
Norm:  tensor(2.2853, device='cuda:2')
Round:  7 User: 102 Train Loss: 8.399
Norm:  tensor(2.3288, device='cuda:2')
Round:  7 User: 103 Train Loss: 8.299
Norm:  tensor(2.4095, device='cuda:2')
Round:  7 User: 104 Train Loss: 8.356
Norm:  tensor(2.3959, device='cuda:2')
Round:  7 User: 105 Train Loss: 8.277
Norm:  tensor(2.4353, device='cuda:2')
Round:  7 User: 106 Train Loss: 8.259
Norm:  tensor(2.3255, device='cuda:2')
Round:  7 User: 107 Train Loss: 8.337
Norm:  tensor(2.4593, device='cuda:2')
Round:  7 User: 108 Train Loss: 8.341
Norm:  tensor(2.3928, device='cuda:2')
Round:  7 User: 109 Train Loss: 8.112
Norm:  tensor(2.5095, device='cuda:2')
Round:  7 User: 110 Train Loss: 8.319
Norm:  tensor(2.2681, device='cuda:2')
Round:  7 User: 111 Train Loss: 8.299
Norm:  tensor(2.4613, device='cuda:2')
Round:  7 User: 112 Train Loss: 8.230
Norm:  tensor(2.4125, device='cuda:2')
Round:  7 User: 113 Train Loss: 8.232
Norm:  tensor(2.5133, device='cuda:2')
Round:  7 User: 114 Train Loss: 8.123
Norm:  tensor(2.4135, device='cuda:2')
Round:  7 User: 115 Train Loss: 8.393
Norm:  tensor(2.3671, device='cuda:2')
Round:  7 User: 116 Train Loss: 8.247
Norm:  tensor(2.4081, device='cuda:2')
Round:  7 User: 117 Train Loss: 8.068
Norm:  tensor(2.3612, device='cuda:2')
Round:  7 User: 118 Train Loss: 8.420
Norm:  tensor(2.4471, device='cuda:2')
Round:  7 User: 119 Train Loss: 8.233
Norm:  tensor(2.4820, device='cuda:2')
Round:  7 User: 120 Train Loss: 8.090
Norm:  tensor(2.4252, device='cuda:2')
Round:  7 User: 121 Train Loss: 8.296
Norm:  tensor(2.3307, device='cuda:2')
Round:  7 User: 122 Train Loss: 8.313
Norm:  tensor(2.3884, device='cuda:2')
Round:  7 User: 123 Train Loss: 8.338
Norm:  tensor(2.3998, device='cuda:2')
Round:  7 User: 124 Train Loss: 8.384
Norm:  tensor(2.4571, device='cuda:2')
Round:  7 User: 125 Train Loss: 8.317
Norm:  tensor(2.5775, device='cuda:2')
Round:  7 User: 126 Train Loss: 8.323
Norm:  tensor(2.4744, device='cuda:2')
Round:  7 User: 127 Train Loss: 8.297
Norm:  tensor(2.4673, device='cuda:2')
Round:  7 User: 128 Train Loss: 8.241
Norm:  tensor(2.4282, device='cuda:2')
Round:  7 User: 129 Train Loss: 8.347
Norm:  tensor(2.4496, device='cuda:2')
Round:  7 User: 130 Train Loss: 8.261
Norm:  tensor(2.3913, device='cuda:2')
Round:  7 User: 131 Train Loss: 8.195
Norm:  tensor(2.4537, device='cuda:2')
Round:  7 User: 132 Train Loss: 8.308
Norm:  tensor(2.5604, device='cuda:2')
Round:  7 User: 133 Train Loss: 8.194
Norm:  tensor(2.3913, device='cuda:2')
Round:  7 User: 134 Train Loss: 8.360
Norm:  tensor(2.4503, device='cuda:2')
Round:  7 User: 135 Train Loss: 8.251
Norm:  tensor(2.5378, device='cuda:2')
Round:  7 User: 136 Train Loss: 8.263
Norm:  tensor(2.3915, device='cuda:2')
Round:  7 User: 137 Train Loss: 8.321
Norm:  tensor(2.6036, device='cuda:2')
Round:  7 User: 138 Train Loss: 8.123
Norm:  tensor(2.5264, device='cuda:2')
Round:  7 User: 139 Train Loss: 8.380
Norm:  tensor(2.4668, device='cuda:2')
Round:  7 User: 140 Train Loss: 8.462
Norm:  tensor(2.3858, device='cuda:2')
Round:  7 User: 141 Train Loss: 8.227
Norm:  tensor(2.4136, device='cuda:2')
Round:  7 User: 142 Train Loss: 8.298
Norm:  tensor(2.6092, device='cuda:2')
Round:  7 User: 143 Train Loss: 8.267
Norm:  tensor(2.4198, device='cuda:2')
Round:  7 User: 144 Train Loss: 8.172
Norm:  tensor(2.3640, device='cuda:2')
Round:  7 User: 145 Train Loss: 8.415
Norm:  tensor(2.4357, device='cuda:2')
Round:  7 User: 146 Train Loss: 8.270
Norm:  tensor(2.4157, device='cuda:2')
Round:  7 User: 147 Train Loss: 8.296
Norm:  tensor(2.3535, device='cuda:2')
Round:  7 User: 148 Train Loss: 8.241
Norm:  tensor(2.4075, device='cuda:2')
Round:  7 User: 149 Train Loss: 8.263
Norm:  tensor(2.4978, device='cuda:2')
Round:  7 User: 150 Train Loss: 8.371
Norm:  tensor(2.4915, device='cuda:2')
Round:  7 User: 151 Train Loss: 8.487
Norm:  tensor(2.3827, device='cuda:2')
Round:  7 User: 152 Train Loss: 8.338
Norm:  tensor(2.4559, device='cuda:2')
Round:  7 User: 153 Train Loss: 8.197
Norm:  tensor(2.4787, device='cuda:2')
Round:  7 User: 154 Train Loss: 8.244
Norm:  tensor(2.3090, device='cuda:2')
Round:  7 User: 155 Train Loss: 8.385
Norm:  tensor(2.3757, device='cuda:2')
Round:  7 User: 156 Train Loss: 8.310
Norm:  tensor(2.6291, device='cuda:2')
Round:  7 User: 157 Train Loss: 8.305
Norm:  tensor(2.5583, device='cuda:2')
Round:  7 User: 158 Train Loss: 8.252
Norm:  tensor(2.4964, device='cuda:2')
Round:  7 User: 159 Train Loss: 8.337
Norm:  tensor(2.3454, device='cuda:2')
Round:  7 User: 160 Train Loss: 8.364
Norm:  tensor(2.5469, device='cuda:2')
Round:  7 User: 161 Train Loss: 8.203
Norm:  tensor(2.4759, device='cuda:2')
Round:  7 User: 162 Train Loss: 8.290
Norm:  tensor(2.5243, device='cuda:2')
Round:  7 User: 163 Train Loss: 8.240
Norm:  tensor(2.5108, device='cuda:2')
Round:  7 User: 164 Train Loss: 8.305
Norm:  tensor(2.3419, device='cuda:2')
Round:  7 User: 165 Train Loss: 8.214
Norm:  tensor(2.4389, device='cuda:2')
Round:  7 User: 166 Train Loss: 8.199
Norm:  tensor(2.3434, device='cuda:2')
Round:  7 User: 167 Train Loss: 8.341
Norm:  tensor(2.3696, device='cuda:2')
Round:  7 User: 168 Train Loss: 8.304
Norm:  tensor(2.3860, device='cuda:2')
Round:  7 User: 169 Train Loss: 8.391
Norm:  tensor(2.4993, device='cuda:2')
Round:  7 User: 170 Train Loss: 8.276
Norm:  tensor(2.4057, device='cuda:2')
Round:  7 User: 171 Train Loss: 8.295
Norm:  tensor(2.4816, device='cuda:2')
Round:  7 User: 172 Train Loss: 8.289
Norm:  tensor(2.2768, device='cuda:2')
Round:  7 User: 173 Train Loss: 8.313
Norm:  tensor(2.4179, device='cuda:2')
Round:  7 User: 174 Train Loss: 8.226
Norm:  tensor(2.3070, device='cuda:2')
Round:  7 User: 175 Train Loss: 8.192
Norm:  tensor(2.6486, device='cuda:2')
Round:  7 User: 176 Train Loss: 8.255
Norm:  tensor(2.3868, device='cuda:2')
Round:  7 User: 177 Train Loss: 8.219
Norm:  tensor(2.4347, device='cuda:2')
Round:  7 User: 178 Train Loss: 8.341
Norm:  tensor(2.6281, device='cuda:2')
Round:  7 User: 179 Train Loss: 8.271
Norm:  tensor(2.4487, device='cuda:2')
Round:  7 User: 180 Train Loss: 8.169
Norm:  tensor(2.5954, device='cuda:2')
Round:  7 User: 181 Train Loss: 8.254
Norm:  tensor(2.4543, device='cuda:2')
Round:  7 User: 182 Train Loss: 8.208
Norm:  tensor(2.4357, device='cuda:2')
Round:  7 User: 183 Train Loss: 8.205
Norm:  tensor(2.4113, device='cuda:2')
Round:  7 User: 184 Train Loss: 8.234
Norm:  tensor(2.2250, device='cuda:2')
Round:  7 User: 185 Train Loss: 8.554
Norm:  tensor(2.3786, device='cuda:2')
Round:  7 User: 186 Train Loss: 8.297
Norm:  tensor(2.4706, device='cuda:2')
Round:  7 User: 187 Train Loss: 8.241
Norm:  tensor(2.3976, device='cuda:2')
Round:  7 User: 188 Train Loss: 8.282
Norm:  tensor(2.5403, device='cuda:2')
Round:  7 User: 189 Train Loss: 8.195
Norm:  tensor(2.4117, device='cuda:2')
Round:  7 User: 190 Train Loss: 8.258
Norm:  tensor(2.4688, device='cuda:2')
Round:  7 User: 191 Train Loss: 8.250
Norm:  tensor(2.4645, device='cuda:2')
Round:  7 User: 192 Train Loss: 8.221
Norm:  tensor(2.3451, device='cuda:2')
Round:  7 User: 193 Train Loss: 8.279
Norm:  tensor(2.4454, device='cuda:2')
Round:  7 User: 194 Train Loss: 8.237
Norm:  tensor(2.4538, device='cuda:2')
Round:  7 User: 195 Train Loss: 8.223
Norm:  tensor(2.4633, device='cuda:2')
Round:  7 User: 196 Train Loss: 8.287
Norm:  tensor(2.4040, device='cuda:2')
Round:  7 User: 197 Train Loss: 8.330
Norm:  tensor(2.3544, device='cuda:2')
Round:  7 User: 198 Train Loss: 8.317
Norm:  tensor(2.5245, device='cuda:2')
Round:  7 User: 199 Train Loss: 8.211
Norm:  tensor(2.4771, device='cuda:2')
Round:  7 User: 200 Train Loss: 8.211
Norm:  tensor(2.3747, device='cuda:2')
Round:  7 User: 201 Train Loss: 8.300
Norm:  tensor(2.5272, device='cuda:2')
Round:  7 User: 202 Train Loss: 8.359
Norm:  tensor(2.3895, device='cuda:2')
Round:  7 User: 203 Train Loss: 8.211
Norm:  tensor(2.4567, device='cuda:2')
Round:  7 User: 204 Train Loss: 8.382
Norm:  tensor(2.4340, device='cuda:2')
Round:  7 User: 205 Train Loss: 8.288
Norm:  tensor(2.4007, device='cuda:2')
Round:  7 User: 206 Train Loss: 8.402
Norm:  tensor(2.3472, device='cuda:2')
Round:  7 User: 207 Train Loss: 8.298
Norm:  tensor(2.2648, device='cuda:2')
Round:  7 User: 208 Train Loss: 8.394
Norm:  tensor(2.4147, device='cuda:2')
Round:  7 User: 209 Train Loss: 8.298
Norm:  tensor(2.4330, device='cuda:2')
Round:  7 User: 210 Train Loss: 8.269
Norm:  tensor(2.5067, device='cuda:2')
Round:  7 User: 211 Train Loss: 8.252
Norm:  tensor(2.5753, device='cuda:2')
Round:  7 User: 212 Train Loss: 8.212
Norm:  tensor(2.4601, device='cuda:2')
Round:  7 User: 213 Train Loss: 8.204
Norm:  tensor(2.4670, device='cuda:2')
Round:  7 User: 214 Train Loss: 8.233
Norm:  tensor(2.3634, device='cuda:2')
Round:  7 User: 215 Train Loss: 8.314
Norm:  tensor(2.3145, device='cuda:2')
Round:  7 User: 216 Train Loss: 8.397
Norm:  tensor(2.4940, device='cuda:2')
Round:  7 User: 217 Train Loss: 8.235
Norm:  tensor(2.3371, device='cuda:2')
Round:  7 User: 218 Train Loss: 8.303
Norm:  tensor(2.4604, device='cuda:2')
Round:  7 User: 219 Train Loss: 8.273
Norm:  tensor(2.3958, device='cuda:2')
Round:  7 User: 220 Train Loss: 8.300
Norm:  tensor(2.4460, device='cuda:2')
Round:  7 User: 221 Train Loss: 8.357
Norm:  tensor(2.3974, device='cuda:2')
Round:  7 User: 222 Train Loss: 8.329
Norm:  tensor(2.4100, device='cuda:2')
Round:  7 User: 223 Train Loss: 8.369
Norm:  tensor(2.4494, device='cuda:2')
Round:  7 User: 224 Train Loss: 8.221
Norm:  tensor(2.4491, device='cuda:2')
Round:  7 User: 225 Train Loss: 8.196
Norm:  tensor(2.4950, device='cuda:2')
Round:  7 User: 226 Train Loss: 8.319
Norm:  tensor(2.4278, device='cuda:2')
Round:  7 User: 227 Train Loss: 8.300
Norm:  tensor(2.3663, device='cuda:2')
Round:  7 User: 228 Train Loss: 8.339
Norm:  tensor(2.3889, device='cuda:2')
Round:  7 User: 229 Train Loss: 8.296
Norm:  tensor(2.2662, device='cuda:2')
Round:  7 User: 230 Train Loss: 8.430
Norm:  tensor(2.3708, device='cuda:2')
Round:  7 User: 231 Train Loss: 8.219
Norm:  tensor(2.4230, device='cuda:2')
Round:  7 User: 232 Train Loss: 8.305
Norm:  tensor(2.3325, device='cuda:2')
Round:  7 User: 233 Train Loss: 8.475
Norm:  tensor(2.4175, device='cuda:2')
Round:  7 User: 234 Train Loss: 8.322
Norm:  tensor(2.3968, device='cuda:2')
Round:  7 User: 235 Train Loss: 8.290
Norm:  tensor(2.4207, device='cuda:2')
Round:  7 User: 236 Train Loss: 8.353
Norm:  tensor(2.3883, device='cuda:2')
Round:  7 User: 237 Train Loss: 8.311
Norm:  tensor(2.5023, device='cuda:2')
Round:  7 User: 238 Train Loss: 8.295
Norm:  tensor(2.5804, device='cuda:2')
Round:  7 User: 239 Train Loss: 8.168
Norm:  tensor(2.4260, device='cuda:2')
Round:  7 User: 240 Train Loss: 8.329
Norm:  tensor(2.3557, device='cuda:2')
Round:  7 User: 241 Train Loss: 8.296
Norm:  tensor(2.4686, device='cuda:2')
Round:  7 User: 242 Train Loss: 8.202
Norm:  tensor(2.5026, device='cuda:2')
Round:  7 User: 243 Train Loss: 8.166
Norm:  tensor(2.3216, device='cuda:2')
Round:  7 User: 244 Train Loss: 8.288
Norm:  tensor(2.2874, device='cuda:2')
Round:  7 User: 245 Train Loss: 8.321
Norm:  tensor(2.5575, device='cuda:2')
Round:  7 User: 246 Train Loss: 8.320
Norm:  tensor(2.6117, device='cuda:2')
Round:  7 User: 247 Train Loss: 8.309
Norm:  tensor(2.4008, device='cuda:2')
Round:  7 User: 248 Train Loss: 8.230
Norm:  tensor(2.3347, device='cuda:2')
Round:  7 User: 249 Train Loss: 8.338
Norm:  tensor(2.4841, device='cuda:2')
Round:  7 User: 250 Train Loss: 8.282
Norm:  tensor(2.4552, device='cuda:2')
Round:  7 User: 251 Train Loss: 8.138
Norm:  tensor(2.4762, device='cuda:2')
Round:  7 User: 252 Train Loss: 8.374
Norm:  tensor(2.3926, device='cuda:2')
Round:  7 User: 253 Train Loss: 8.383
Norm:  tensor(2.4396, device='cuda:2')
Round:  7 User: 254 Train Loss: 8.434
Norm:  tensor(2.5231, device='cuda:2')
Round:  7 User: 255 Train Loss: 8.238
Norm:  tensor(2.4747, device='cuda:2')
Round:  7 User: 256 Train Loss: 8.184
Norm:  tensor(2.2469, device='cuda:2')
Round:  7 User: 257 Train Loss: 8.356
Norm:  tensor(2.4208, device='cuda:2')
Round:  7 User: 258 Train Loss: 8.314
Norm:  tensor(2.4847, device='cuda:2')
Round:  7 User: 259 Train Loss: 8.250
Norm:  tensor(2.5031, device='cuda:2')
Round:  7 User: 260 Train Loss: 8.253
Norm:  tensor(2.4812, device='cuda:2')
Round:  7 User: 261 Train Loss: 8.270
